Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,screen_reads.fastq
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_narbonensis,JCM_4147,0.5643497827007217
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_clavifer,DSM_40843,4.083718405169098
Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Algoriella,Algoriella_xinjiangensis,XJ109,0.14666770029862036
Bacteria,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Tuwongella,Tuwongella_immobilis,MBLW1,0.0662958186186185
Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus_lignieresii,NCTC4189,0.13057280163630294
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium_commune,BDV5040,0.8888605137543032
Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia_nasimurium,CCUG_35957,0.2615394504901818
Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Amphibacillus,Amphibacillus_marinus,CGMCC_110434,0.057929356621462945
Bacteria,Mycoplasmatota,unclassified_Mycoplasmatota_class,Mycoplasmoidales,Metamycoplasmataceae,Metamycoplasma,Mycoplasma_falconis,ATCC_51372,0.1495453268543742
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea_endophytica,596,0.3571562685619481
Bacteria,Bacteroidota,Cytophagia,Cytophagales,Catalimonadaceae,Tunicatimonas,Tunicatimonas_pelagia,NBRC_107804,0.004985113013554695
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus_farciminis,DSM_20184,0.20601734936880686
Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus_pacificus,DSM_13166,0.05476590678519248
Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus_islandicus,DSM_13165,0.2390465887449802
Bacteria,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_haemofelis,Langford_1,0.3428658124858018
Bacteria,Bacillota,Clostridia,Halanaerobiales,Halobacteroidaceae,Fuchsiella,Fuchsiella_alkaliacetigena,Z-7100,0.27888418151085925
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Acetobacteroides,Acetobacteroides_hydrogenigenes,RL-C,0.004074208001538839
Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,Brunnivagina,Brunnivagina_elsteri,CCALA_953,1.9662276748088712
